category,check,status,detail
"docs","AGENTS.md","pass","present"
"docs","PROJECT_SOURCE_OF_TRUTH.md","pass","present"
"docs","MVP_VERTICAL_SLICE_SPEC.md","pass","present"
"docs","docs/15_MVP_SCOPE.md","pass","present"
"docs","docs/55_MVP_BACKLOG_AND_TASK_BREAKDOWN.md","pass","present"
"docs","docs/mvp-vertical-slice/10_ACCEPTANCE_TESTS.md","pass","present"
"source-of-truth","Foundation Academy","pass","found"
"source-of-truth","Bridge Academy","pass","found"
"source-of-truth","Scholar Academy","pass","found"
"source-of-truth","Teach → Break Down","pass","found"
"source-of-truth","Memory Vault","pass","found"
"source-of-truth","Needs Intervention","pass","found"
"lesson-player","16 official sections","pass","found 16"
"memory-vault","gradeMemoryVaultAnswer","pass","implemented"
"memory-vault","applyMemoryVaultReviewSession","pass","implemented"
"memory-vault","getReviewableMemoryVaultItems","pass","implemented"
"memory-vault","updateRetentionStrength","pass","implemented"
"memory-vault","review-session UI","pass","present"
"vertical-slice","memory-vault screen","pass","wired"
"vertical-slice","review session summaries","pass","tracked"
"content","12 seed lessons","pass","found 12"
"memory-vault","canonical schedule","pass","all Memory Vault schedules match"
